DP000163,ZZ ALTA BRONZEWORK,"014 MCARTHUR HIGHWAY,POTRERO MALABON",JOSIE,361-3818,0,260-102-253-707V,260-102-253-707V
DP000164,ZZ ALTO STEEL INDUSTRIES,"F. BALAGTAS ST.,CORNER LAPU-LAPU ST.,PARANG MARIKINA",SONIA,741-3084,0,1800-100-140-346V,1800-100-140-346V
DP000165,"ALYSONS CHEMICAL ENTERPRISES, INC.",1425 G. ARANETA AVENUEQUEZON CITY,LILIA,712-2266,30,038-000-364-505V,038-000-364-505V
DP000166,ZZ AMELCO MERCHANDISING,"ROAD 16, PROJECT 8QUEZON CITY",,,90,380-103-966-193V,380-103-966-193V
DP000167,ANFLO INTERCHEMICAL SUPPLY CORPORATION,"BLOCK 2 LOT 2 & 3 CAVITELIGHT INDUSTRIAL PARK,MAGUYAM SILANG, CAVITE",FLORIE AND ANDY,722-2684,60,004-516-405,004-516-405
DP000168,"ARMEL PLASTIC CO., INC.","2158 PASONG TAMO ST.,MAKATI METRO MANILA",ARTHUR SANTIAS,843-52-65,90,000-106-294,000-106-294
DP000169,ASAHI ELECTRICAL MFG. CORP.,"117 P. PARADA ST.,STA. LUCIA SAN JUANMETRO MANILA",,727-33-03,0,000-051-173-000VAT,000-051-173-000
DP000170,ASHLAR INDUSTRIAL CORPORATION,150 A PANHULO ROADSANTOLAN MALABON,CORA/EMY,291-28-17,60,000-248-490 VAT,000-248-490 VAT
DP000171,ZZ U.P. DRAGON BOAT ROWING TEAM,"224 ARTIAGA STREET, SANJUAN,METRO MANILA",,09178170457,0,,
DP000172,BAGONG SILANG HARDWARE,NAT'L HIGHWAY PLATEROBINAN LAGUNA,JOY,411-45-38,30,104-058-115V,104-058-115V
DP000173,ZZ BALINTAWAK AUTOCENTER INC.,"1240 EDSA BALINTAWAK,QUEZON CITY",,,0,,
DP000174,ZZ BALINTAWAK PLASTIC CENTER,BALINTAWAK QUEZON CITY,,,0,,
DP000175,BINAN SAN VICENTE CONSTRUCTION SUPPLY,"SAN VICENTE, BINANLAGUNA",,6244,30,104-055-781-V,104-055-781-V
DP000176,ZZ BIOSIS CHEMICAL CORPORATION,"3RD F SGS FOUDATIONBLDG. 1335 G. ARANETAAVENUE, QUEZON CITY",JOSEPHINE,741-0674,90,038-002-155-636,038-002-155-636
DP000177,BLAINE MARKETING CORPORATION,"RM 26 EL RICO SUITES1048 METROPOLITAN AVE.,MAKATI METRO MANILA",EVA/WILLIAM,896-2628,60,340-003-058-667V,340-003-058-667V
DP000178,BONLEY TRADING INCORPORATED,"46 PINATUBO ST.,MANDALUYONG METRO MANILA",KENNETH,631-4991-93,90,310-000-052-109V,310-000-052-109V
